indicator_id,region_id,date,value
Z5BR,62904,1996-07-31,147176.0
ZSFH,71261,1996-04-30,110071.0
ZALL,96364,1996-08-31,138755.0
Z3BR,275810,1996-11-30,126531.0
Z2BR,86298,1996-06-30,44476.0
Z3BR,48592,1996-04-30,111122.0
ZATT,13453,1996-08-31,102334.0
ZATT,43078,1996-02-29,428353.0
Z2BR,71903,1996-08-31,64132.0
ZSFH,26705,1996-07-31,122433.0
ZABT,46848,1996-01-31,40375.0
Z3BR,152142,1996-12-31,89343.0
ZCON,417815,1996-04-30,63202.0
ZALL,247231,1996-11-30,121389.0
ZSFH,416581,1996-02-29,123824.0
Z4BR,58822,1996-04-30,229459.0
ZSFH,21494,1996-04-30,175685.0
Z4BR,737988,1996-02-29,218468.0
Z3BR,398372,1996-09-30,114983.0
Z4BR,97767,1996-06-30,155569.0
ZABT,466,1996-07-31,83486.0
ZALL,197303,1996-05-31,141801.0
ZSFH,398779,1996-05-31,139343.0
Z2BR,43810,1996-04-30,96971.0
Z3BR,738005,1996-11-30,140740.0
ZALL,20066,1996-08-31,112906.0
Z2BR,36027,1996-11-30,62294.0
ZCON,40076,1996-04-30,108815.0
Z2BR,33859,1996-04-30,73539.0
Z2BR,30909,1996-11-30,131528.0
Z2BR,67048,1996-05-31,98610.0
ZABT,32048,1996-04-30,47260.0
ZSFH,2902,1996-07-31,47523.0
ZATT,51670,1996-06-30,159668.0
Z1BR,60742,1996-12-31,263079.0
Z1BR,16764,1996-03-31,86104.0
Z5BR,63466,1996-05-31,176314.0
ZSFH,48589,1996-07-31,88237.0
ZSFH,85130,1996-05-31,85948.0
ZALL,74145,1996-01-31,185496.0
ZSFH,77792,1996-12-31,49234.0
ZSFH,99539,1996-01-31,139684.0
ZATT,5936,1996-07-31,346500.0
ZSFH,25937,1996-05-31,212723.0
ZSFH,100028,1996-08-31,82997.0
Z3BR,78187,1996-01-31,92684.0
Z3BR,84273,1996-07-31,203884.0
ZSFH,1613,1996-08-31,66992.0
ZSFH,66114,1996-12-31,99267.0
ZALL,66847,1996-01-31,97983.0
ZABT,56819,1996-03-31,24053.0
ZALL,416393,1996-11-30,114034.0
Z2BR,97063,1996-06-30,138111.0
ZCON,71026,1996-03-31,120237.0
ZALL,20425,1996-02-29,182523.0
ZABT,44707,1996-01-31,153653.0
Z5BR,20544,1996-01-31,395075.0
Z3BR,763470,1996-06-30,45741.0
ZSFH,81180,1996-08-31,218778.0
ZALL,764075,1996-11-30,158699.0
ZALL,90563,1996-11-30,42319.0
ZATT,16394,1996-03-31,237984.0
Z4BR,3397,1996-12-31,101466.0
ZSFH,55349,1996-10-31,180077.0
Z3BR,42390,1996-01-31,31163.0
Z2BR,72619,1996-04-30,55574.0
Z4BR,763613,1996-03-31,179385.0
Z2BR,394405,1996-11-30,139951.0
Z3BR,8795,1996-12-31,50527.0
ZSFH,77587,1996-08-31,95801.0
Z3BR,32058,1996-03-31,114036.0
Z5BR,62752,1996-12-31,134460.0
Z3BR,6000,1996-06-30,96388.0
ZCON,58833,1996-04-30,98854.0
ZALL,63956,1996-03-31,70476.0
Z1BR,79175,1996-09-30,146165.0
Z4BR,26189,1996-03-31,89606.0
Z5BR,60390,1996-10-31,126404.0
Z3BR,32907,1996-11-30,86277.0
ZSFH,206058,1996-03-31,35970.0
ZSFH,71639,1996-10-31,33062.0
Z3BR,43519,1996-01-31,129582.0
ZSFH,192635,1996-04-30,130663.0
ZABT,17856,1996-07-31,82738.0
ZSFH,19933,1996-09-30,101528.0
ZSFH,59129,1996-07-31,58925.0
Z2BR,398864,1996-02-29,135894.0
Z4BR,124860,1996-07-31,78115.0
Z5BR,79209,1996-06-30,177339.0
ZALL,276600,1996-06-30,137150.0
Z4BR,96161,1996-05-31,303294.0
ZATT,398493,1996-04-30,90517.0
Z5BR,27103,1996-07-31,240713.0
ZSFH,273983,1996-06-30,80548.0
ZABT,398811,1996-01-31,87956.0
ZATT,31988,1996-01-31,101758.0
ZSFH,95158,1996-03-31,165030.0
Z3BR,343220,1996-02-29,183795.0
Z1BR,274806,1996-04-30,101000.0
Z5BR,2151,1996-01-31,183020.0
ZSFH,762844,1996-02-29,304732.0
Z2BR,62153,1996-04-30,253889.0
ZALL,53166,1996-04-30,217066.0
Z3BR,95912,1996-08-31,161689.0
Z4BR,56685,1996-12-31,1038650.0
ZSFH,99646,1996-04-30,123675.0
ZABT,25084,1996-12-31,67278.0
Z3BR,2905,1996-11-30,67131.0
ZSFH,261737,1996-05-31,106568.0
ZATT,14571,1996-04-30,102322.0
ZATT,17272,1996-05-31,360937.0
Z4BR,274888,1996-01-31,160383.0
ZSFH,397839,1996-07-31,158152.0
ZSFH,76968,1996-01-31,65991.0
Z4BR,66610,1996-06-30,268192.0
Z3BR,70043,1996-07-31,66761.0
Z2BR,275200,1996-09-30,88220.0
ZABT,26252,1996-07-31,96352.0
ZATT,394763,1996-11-30,148307.0
Z4BR,74293,1996-12-31,68074.0
Z3BR,47242,1996-12-31,212305.0
ZABT,9469,1996-08-31,110439.0
ZSFH,78949,1996-10-31,134889.0
Z2BR,72707,1996-10-31,61382.0
Z2BR,42641,1996-10-31,120812.0
ZALL,85133,1996-10-31,120787.0
ZABT,29715,1996-07-31,16581.0
Z4BR,39395,1996-04-30,88085.0
Z3BR,764215,1996-01-31,129426.0
ZSFH,248397,1996-01-31,68880.0
Z4BR,30340,1996-01-31,191028.0
ZSFH,84638,1996-04-30,124592.0
Z3BR,51245,1996-02-29,88157.0
ZSFH,22967,1996-07-31,122022.0
Z3BR,74607,1996-06-30,36856.0
ZCON,763584,1996-06-30,69890.0
ZABT,18226,1996-03-31,95391.0
Z1BR,250813,1996-05-31,105408.0
ZALL,268435,1996-10-31,98034.0
Z1BR,99060,1996-08-31,127733.0
Z3BR,396855,1996-02-29,72644.0
Z4BR,61112,1996-10-31,343616.0
ZALL,61959,1996-07-31,212622.0
ZALL,5239,1996-10-31,182846.0
ZCON,210532,1996-07-31,28521.0
Z2BR,273425,1996-08-31,65980.0
ZSFH,95170,1996-08-31,104452.0
Z1BR,59542,1996-04-30,98470.0
Z2BR,74350,1996-04-30,43728.0
Z2BR,13841,1996-04-30,66686.0
ZSFH,75451,1996-04-30,48405.0
ZABT,49914,1996-12-31,51197.0
Z3BR,78926,1996-04-30,163739.0
Z2BR,275552,1996-03-31,178682.0
Z5BR,52840,1996-06-30,147852.0
Z1BR,91705,1996-08-31,128952.0
Z2BR,124750,1996-08-31,75424.0
ZALL,75872,1996-02-29,132523.0
Z3BR,24594,1996-09-30,79402.0
Z4BR,121761,1996-06-30,172332.0
Z4BR,67102,1996-04-30,226088.0
Z2BR,165435,1996-01-31,103224.0
ZALL,74315,1996-10-31,101696.0
Z4BR,35077,1996-07-31,94937.0
ZSFH,73190,1996-02-29,146581.0
Z3BR,50935,1996-03-31,105027.0
Z3BR,418007,1996-11-30,79058.0
ZSFH,77317,1996-10-31,72844.0
Z4BR,28886,1996-06-30,193902.0
ZATT,396754,1996-12-31,100029.0
ZALL,37929,1996-01-31,83828.0
Z2BR,96171,1996-06-30,149747.0
ZALL,6231,1996-10-31,142522.0
ZATT,14799,1996-02-29,128811.0
Z3BR,18375,1996-10-31,333029.0
Z2BR,117183,1996-12-31,198899.0
Z2BR,95800,1996-04-30,69361.0
Z2BR,35278,1996-09-30,38527.0
Z4BR,97950,1996-06-30,449195.0
ZATT,22680,1996-01-31,123996.0
ZCON,394466,1996-11-30,91937.0
ZSFH,90576,1996-06-30,43847.0
ZSFH,89359,1996-11-30,58541.0
Z4BR,72481,1996-09-30,145115.0
ZALL,96116,1996-06-30,413342.0
ZSFH,23162,1996-08-31,51459.0
ZCON,12447,1996-10-31,151726.0
Z1BR,394855,1996-05-31,12909.0
ZALL,47695,1996-06-30,271192.0
ZALL,54047,1996-07-31,159151.0
ZSFH,395471,1996-06-30,155969.0
ZALL,55284,1996-08-31,68395.0
Z1BR,66837,1996-02-29,88172.0
ZSFH,37507,1996-05-31,68368.0
ZCON,32034,1996-10-31,151380.0
Z3BR,25084,1996-07-31,117262.0
Z4BR,34780,1996-06-30,225890.0
ZSFH,26493,1996-04-30,70439.0
Z2BR,98224,1996-12-31,207181.0
Z4BR,68618,1996-05-31,226178.0
Z3BR,60446,1996-11-30,357784.0
Z5BR,2415,1996-05-31,97598.0
ZCON,96025,1996-09-30,119611.0
ZCON,1209,1996-04-30,62997.0
ZSFH,56232,1996-03-31,107235.0
ZALL,273858,1996-04-30,172072.0
ZSFH,94979,1996-11-30,70619.0
ZCON,730,1996-05-31,98990.0
Z5BR,43071,1996-03-31,113936.0
ZALL,10694,1996-04-30,128548.0
Z3BR,62663,1996-06-30,131084.0
ZCON,34650,1996-06-30,191036.0
Z3BR,37951,1996-11-30,67607.0
ZALL,762910,1996-10-31,119057.0
Z4BR,34095,1996-04-30,83253.0
Z2BR,39701,1996-01-31,69686.0
Z2BR,72884,1996-11-30,47023.0
ZATT,41693,1996-12-31,94399.0
Z5BR,60923,1996-07-31,125411.0
ZCON,41568,1996-02-29,128064.0
ZSFH,11041,1996-03-31,79715.0
Z4BR,12228,1996-11-30,161593.0
Z1BR,761077,1996-06-30,79338.0
Z4BR,125623,1996-05-31,221114.0
ZALL,189693,1996-10-31,222425.0
Z4BR,51487,1996-09-30,239653.0
Z5BR,46216,1996-12-31,85979.0
ZSFH,97839,1996-09-30,208807.0
ZCON,147,1996-12-31,151859.0
Z4BR,97515,1996-02-29,656452.0
Z2BR,761687,1996-07-31,82377.0
ZCON,96018,1996-10-31,56033.0
Z2BR,21302,1996-10-31,67089.0
Z2BR,213172,1996-11-30,69692.0
ZALL,38842,1996-01-31,85035.0
ZALL,7540,1996-02-29,190246.0
Z3BR,21367,1996-07-31,296780.0
ZCON,73231,1996-01-31,48870.0
ZALL,269514,1996-03-31,76044.0
